date,country,total_cases,total_hospitalizations,total_icu,total_deaths,total_recovered,active_cases,regions_count,avg_age,mortality_rate,recovery_rate,processed_at
2020-05-14,COLOMBIA,44,"","",2,0,0,4,35.79545454545455,4.55,0.0,2026-02-25T07:01:18.070+01:00
2020-05-14,FRANCE,"",20401,2256,17205,59596,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-05-15,COLOMBIA,143,"","",4,0,0,16,38.59440559440559,2.8,0.0,2026-02-25T07:01:18.070+01:00
2020-05-15,FRANCE,"",19801,2162,17323,60439,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-05-16,COLOMBIA,539,"","",21,0,0,21,38.83673469387755,3.9,0.0,2026-02-25T07:01:18.070+01:00
2020-05-16,FRANCE,"",19372,2091,17393,61057,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-05-17,COLOMBIA,498,"","",13,0,0,17,35.7570281124498,2.61,0.0,2026-02-25T07:01:18.070+01:00
2020-05-17,FRANCE,"",19302,2047,17447,61204,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-05-18,COLOMBIA,262,"","",8,0,0,11,32.66030534351145,3.05,0.0,2026-02-25T07:01:18.070+01:00
2020-05-18,FRANCE,"",18956,1958,17570,61719,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-05-19,FRANCE,"",18409,1854,17695,62554,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-05-20,FRANCE,"",17882,1754,17793,63345,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-05-21,COLOMBIA,284,"","",8,0,0,15,38.433098591549296,2.82,0.0,2026-02-25T07:01:18.070+01:00
2020-05-21,FRANCE,"",17527,1708,17851,63849,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-05-22,COLOMBIA,581,"","",25,0,0,19,38.27538726333907,4.3,0.0,2026-02-25T07:01:18.070+01:00
2020-05-22,FRANCE,"",17327,1664,17925,64200,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-05-23,COLOMBIA,312,"","",21,0,0,12,41.19871794871795,6.73,0.0,2026-02-25T07:01:18.070+01:00
2020-05-23,FRANCE,"",17122,1628,17968,64538,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-05-24,COLOMBIA,37,"","",0,0,0,2,39.513513513513516,0.0,0.0,2026-02-25T07:01:18.070+01:00
2020-05-24,FRANCE,"",17129,1618,18003,64608,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-05-25,COLOMBIA,4,"","",0,0,0,2,54.5,0.0,0.0,2026-02-25T07:01:18.070+01:00
2020-05-25,FRANCE,"",16742,1572,18093,65190,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-05-26,FRANCE,"",16209,1519,18175,65870,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-05-27,FRANCE,"",15627,1467,18240,66575,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-05-28,FRANCE,"",15155,1395,18306,67182,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-05-29,FRANCE,"",14643,1328,18367,67794,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-05-30,FRANCE,"",14329,1293,18424,68259,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-05-31,FRANCE,"",14271,1287,18455,68346,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-06-01,FRANCE,"",14237,1270,18486,68431,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-06-02,FRANCE,"",13978,1221,18570,68803,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-06-03,FRANCE,"",13465,1179,18651,69446,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-06-04,FRANCE,"",13054,1133,18695,69967,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-06-05,FRANCE,"",12650,1065,18741,70494,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-06-06,FRANCE,"",12433,1030,18772,70796,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-06-07,COLOMBIA,1,"","",0,0,0,1,27.0,0.0,0.0,2026-02-25T07:01:18.070+01:00
2020-06-07,FRANCE,"",12415,1024,18785,70832,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-06-08,FRANCE,"",12269,995,18839,71052,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-06-09,FRANCE,"",11915,926,18892,71496,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-06-10,FRANCE,"",11632,904,18915,71822,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-06-11,FRANCE,"",11420,875,18942,72139,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-06-12,FRANCE,"",11079,851,18970,72562,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-06-13,FRANCE,"",10864,843,18994,72798,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-06-14,FRANCE,"",10836,841,19003,72849,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-06-15,FRANCE,"",10707,818,19032,73034,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-06-16,FRANCE,"",10490,792,19070,73325,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-06-17,FRANCE,"",10222,744,19098,73657,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-06-18,FRANCE,"",10080,724,19126,73877,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-06-19,FRANCE,"",9925,699,19140,74107,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-06-20,FRANCE,"",9792,687,19156,74302,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-06-21,FRANCE,"",9778,687,19163,74362,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-06-22,COLOMBIA,1,"","",0,0,0,1,28.0,0.0,0.0,2026-02-25T07:01:18.070+01:00
2020-06-22,FRANCE,"",9648,673,19186,74602,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-06-23,COLOMBIA,1661,"","",91,0,0,28,39.245635159542445,5.48,0.0,2026-02-25T07:01:18.070+01:00
2020-06-23,FRANCE,"",9446,654,19212,74861,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-06-24,COLOMBIA,796,"","",27,0,0,21,38.71105527638191,3.39,0.0,2026-02-25T07:01:18.070+01:00
2020-06-24,FRANCE,"",9254,630,19223,75117,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-06-25,COLOMBIA,300,"","",14,0,0,24,39.82,4.67,0.0,2026-02-25T07:01:18.070+01:00
2020-06-25,FRANCE,"",9096,623,19244,75341,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-06-26,FRANCE,"",8841,606,19270,75639,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-06-27,FRANCE,"",8715,594,19285,75803,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-06-28,FRANCE,"",8727,594,19287,75833,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-06-29,FRANCE,"",8643,591,19305,75989,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-06-30,FRANCE,"",8491,574,19326,76264,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-07-01,FRANCE,"",8291,554,19344,76539,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-07-02,FRANCE,"",8103,545,19358,76792,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-07-03,FRANCE,"",7946,533,19376,77049,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-07-04,FRANCE,"",7863,517,19388,77160,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-07-05,FRANCE,"",7863,521,19390,77179,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-07-06,FRANCE,"",7806,521,19403,77308,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-07-07,FRANCE,"",7550,511,19437,77644,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-07-08,COLOMBIA,947,"","",43,0,0,7,41.63885955649419,4.54,0.0,2026-02-25T07:01:18.070+01:00
2020-07-08,FRANCE,"",7254,503,19469,77985,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-07-09,COLOMBIA,1981,"","",124,0,0,32,40.96415951539626,6.26,0.0,2026-02-25T07:01:18.070+01:00
2020-07-09,FRANCE,"",7134,486,19483,78159,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-07-10,FRANCE,"",7020,471,19508,78377,"",102,"","","",2026-02-25T07:01:18.070+01:00
